[2025-06-17 03:22:06] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-06-17 03:22:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-16T20:22:16.919000+00:00', 'pinned': False, 'nonce': '1384266855144751104', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1384243335430148128'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-16T02:34:53.865000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1384266856059109567', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'postm1rage', 'components': [], 'channel_type': 0, 'channel_id': '1384222061815398463', 'author': {'username': 'postm1rage', 'public_flags': 0, 'primary_guild': None, 'id': '296821040221388801', 'global_name': 'postm1rage', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '50007116a84430b4bdd09e593e771703'}, 'attachments': [], 'guild_id': '1383998239824543844'}}
[2025-06-17 03:22:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-17 03:22:16] [DEBUG   ] discord.client: Dispatching event message
[2025-06-17 03:22:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-16T20:22:17.354000+00:00', 'pinned': False, 'nonce': '8851498082134778336', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1384042326589964332'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-16T05:30:05.382000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1384266857883766794', 'flags': 0, 'embeds': [{'type': 'rich', 'title': '❌ Верификация отклонена (автоматически)', 'description': 'Игрок <@296821040221388801>\nПричина: Отсутствует скриншот\nНикнейм: postm1rage', 'content_scan_version': 0, 'color': 15158332}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1384238375514669238', 'author': {'username': 'ELO BOT by postm1rage', 'public_flags': 0, 'primary_guild': None, 'id': '1384004458920280116', 'global_name': None, 'discriminator': '0751', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1383998239824543844'}}
[2025-06-17 03:22:17] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-17 03:22:17] [DEBUG   ] discord.client: Dispatching event message
[2025-06-17 03:22:17] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1384238375514669238/messages with {"embeds":[{"flags":0,"color":15158332,"type":"rich","description":"\u0418\u0433\u0440\u043e\u043a <@296821040221388801>\n\u041f\u0440\u0438\u0447\u0438\u043d\u0430: \u041e\u0442\u0441\u0443\u0442\u0441\u0442\u0432\u0443\u0435\u0442 \u0441\u043a\u0440\u0438\u043d\u0448\u043e\u0442\n\u041d\u0438\u043a\u043d\u0435\u0439\u043c: postm1rage","title":"\u274c \u0412\u0435\u0440\u0438\u0444\u0438\u043a\u0430\u0446\u0438\u044f \u043e\u0442\u043a\u043b\u043e\u043d\u0435\u043d\u0430 (\u0430\u0432\u0442\u043e\u043c\u0430\u0442\u0438\u0447\u0435\u0441\u043a\u0438)"}],"content":null,"components":[],"nonce":"8851498082134778336","enforce_nonce":true,"tts":false} has returned 200
[2025-06-17 03:22:17] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-06-17 03:22:17] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1384238375514669238/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': '❌ Верификация отклонена (автоматически)', 'description': 'Игрок <@296821040221388801>\nПричина: Отсутствует скриншот\nНикнейм: postm1rage', 'color': 15158332, 'content_scan_version': 0}], 'timestamp': '2025-06-16T20:22:17.354000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1384266857883766794', 'channel_id': '1384238375514669238', 'author': {'id': '1384004458920280116', 'username': 'ELO BOT by postm1rage', 'avatar': None, 'discriminator': '0751', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '8851498082134778336'}
[2025-06-17 03:22:17] [DEBUG   ] discord.http: DELETE https://discord.com/api/v10/channels/1384222061815398463/messages/1384266856059109567 with None has returned 403
[2025-06-17 03:22:17] [DEBUG   ] discord.http: DELETE /channels/{channel_id}/messages/{message_id}:sub-10-seconds has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-06-17 03:22:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-16T20:22:17.917000+00:00', 'pinned': False, 'nonce': '9409679106615292191', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1384042326589964332'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-16T05:30:05.382000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1384266860245160017', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '⚠️ Ошибка при обработке верификации: 403 Forbidden (error code: 50013): Missing Permissions', 'components': [], 'channel_type': 0, 'channel_id': '1384238375514669238', 'author': {'username': 'ELO BOT by postm1rage', 'public_flags': 0, 'primary_guild': None, 'id': '1384004458920280116', 'global_name': None, 'discriminator': '0751', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1383998239824543844'}}
[2025-06-17 03:22:18] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-17 03:22:18] [DEBUG   ] discord.client: Dispatching event message
[2025-06-17 03:22:18] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1384238375514669238/messages with {"content":"\u26a0\ufe0f \u041e\u0448\u0438\u0431\u043a\u0430 \u043f\u0440\u0438 \u043e\u0431\u0440\u0430\u0431\u043e\u0442\u043a\u0435 \u0432\u0435\u0440\u0438\u0444\u0438\u043a\u0430\u0446\u0438\u0438: 403 Forbidden (error code: 50013): Missing Permissions","components":[],"nonce":"9409679106615292191","enforce_nonce":true,"tts":false} has returned 200
[2025-06-17 03:22:18] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1384238375514669238/messages has received {'type': 0, 'content': '⚠️ Ошибка при обработке верификации: 403 Forbidden (error code: 50013): Missing Permissions', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-06-16T20:22:17.917000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1384266860245160017', 'channel_id': '1384238375514669238', 'author': {'id': '1384004458920280116', 'username': 'ELO BOT by postm1rage', 'avatar': None, 'discriminator': '0751', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '9409679106615292191'}
